config_name,category,precision,recall,f1,accuracy
A: Regex only,boundary_escape,1.0,0.6667,0.8,0.8333
A: Regex only,dan_jailbreak,1.0,0.75,0.8571,0.875
A: Regex only,evasion,0.0,0.0,0.0,0.5
A: Regex only,indirect_injection,1.0,0.4,0.5714,0.7
A: Regex only,instruction_override,1.0,0.5,0.6667,0.75
A: Regex only,role_hijacking,0.0,0.0,0.0,0.5
A: Regex only,social_engineering,1.0,0.5,0.6667,0.75
A: Regex only,system_prompt_extraction,1.0,0.4,0.5714,0.7
B: Regex + Scoring,boundary_escape,1.0,0.6667,0.8,0.8333
B: Regex + Scoring,dan_jailbreak,1.0,0.75,0.8571,0.875
B: Regex + Scoring,evasion,0.0,0.0,0.0,0.5
B: Regex + Scoring,indirect_injection,1.0,0.2,0.3333,0.6
B: Regex + Scoring,instruction_override,1.0,0.5,0.6667,0.75
B: Regex + Scoring,role_hijacking,0.0,0.0,0.0,0.5
B: Regex + Scoring,social_engineering,1.0,0.5,0.6667,0.75
B: Regex + Scoring,system_prompt_extraction,1.0,0.4,0.5714,0.7
C: + Classifier,boundary_escape,1.0,0.6667,0.8,0.8333
C: + Classifier,dan_jailbreak,1.0,0.75,0.8571,0.875
C: + Classifier,evasion,0.0,0.0,0.0,0.5
C: + Classifier,indirect_injection,1.0,0.4,0.5714,0.7
C: + Classifier,instruction_override,1.0,0.5,0.6667,0.75
C: + Classifier,role_hijacking,0.0,0.0,0.0,0.5
C: + Classifier,social_engineering,1.0,0.5,0.6667,0.75
C: + Classifier,system_prompt_extraction,1.0,0.4,0.5714,0.7
